Image Path,Computation Time (s)
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Alocasia macrorrhizos\IMG_20241106_105207.jpg,0.08307909965515137
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Hopea pedicellata (Brandis) Symington\IMG_20241125_085935.jpg,0.08653950691223145
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Diospyros borneensis Hiern\IMG_20241123_102636.jpg,0.08480429649353027
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Costus woodsonii Maas\IMG_20241125_104830.jpg,0.08987951278686523
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Hura crepitans L\IMG_20241109_132859.jpg,0.09410452842712402
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Acalypha siamensis Oliv. ex Gage\IMG_20241109_133154.jpg,0.08483123779296875
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Aloe vera (L.) Burm.f\IMG_20241106_104210.jpg,0.07928800582885742
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Grammatophyllum speciosum\IMG_20241125_103346.jpg,0.07795190811157227
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Kalanchoe pinnata\IMG_20241019_123134.jpg,0.07601690292358398
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Costus woodsonii Maas\IMG_20241125_104559.jpg,0.07531118392944336
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Ctenanthe burle-marxii H.Kenn\IMG_20241109_144614.jpg,0.07422900199890137
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Grammatophyllum speciosum\IMG_20241125_103607.jpg,0.08466577529907227
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Dillenia sp\IMG_20241106_100354.jpg,0.09150195121765137
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Furcraea foetida (L.) Haw\IMG_20241125_112806.jpg,0.08994174003601074
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Syzygium oleana\IMG_20241019_131457.jpg,0.09093332290649414
C:\Users\dhani\Documents\Tugas Akhir and Stuff\Data\Acalypha siamensis Oliv. ex Gage\IMG_20241109_133256.jpg,0.08782315254211426
